OG_name	Emi219	Emi370	Emi374	Emi379	Emihu1	
OG1_5_1238	4	2	2	1	3	
OG1_5_1239	3	2	2	2	3	
OG1_5_1240	2	3	3	2	2	
OG1_5_1241	4	3	1	2	2	
OG1_5_1242	3	2	3	2	2	
OG1_5_1243	4	3	1	2	2	
OG1_5_1244	11	1	0	0	0	
OG1_5_1245	2	3	1	1	5	
OG1_5_1246	2	3	3	2	2	
OG1_5_1247	4	2	1	3	2	
OG1_5_1248	2	4	2	2	2	
OG1_5_1249	3	2	2	2	3	
OG1_5_1250	2	2	3	2	3	
OG1_5_1251	3	2	1	1	5	
OG1_5_1252	2	2	4	2	2	
OG1_5_1253	4	2	3	2	1	
OG1_5_1254	2	3	1	3	3	
OG1_5_1255	3	4	1	3	1	
OG1_5_1256	3	0	1	5	3	
OG1_5_1257	2	4	1	2	3	
OG1_5_1258	2	5	1	2	2	
OG1_5_1259	1	3	1	0	7	
OG1_5_1260	1	0	0	0	11	
OG1_5_1261	1	0	1	0	10	
OG1_5_1262	2	3	2	3	2	
OG1_5_1263	2	3	2	2	3	
OG1_5_1264	1	0	0	1	10	
OG1_5_1265	2	4	1	1	4	
OG1_5_1266	3	5	0	2	2	
OG1_5_1267	1	1	0	1	9	
OG1_5_1268	0	0	0	0	12	
OG1_5_1269	1	2	1	1	7	
OG1_5_1270	1	1	2	1	7	
OG1_5_1271	3	1	3	3	2	
OG1_5_1272	3	3	1	2	3	
OG1_5_1273	1	1	2	1	7	
OG1_5_1274	2	3	2	2	3	
OG1_5_1275	2	4	0	4	2	
OG1_5_1276	2	3	2	2	3	
OG1_5_1277	2	1	3	1	5	
OG1_5_1278	2	2	2	2	4	
OG1_5_1279	1	9	0	1	1	
OG1_5_1280	0	9	1	1	1	
OG1_5_1281	0	12	0	0	0	
OG1_5_1282	3	4	1	3	1	
OG1_5_1283	2	2	3	2	3	
OG1_5_1284	1	1	2	6	2	
OG1_5_1285	3	2	2	3	2	
OG1_5_1286	2	3	3	3	1	
OG1_5_1287	3	4	1	3	1	
OG1_5_1288	1	3	2	3	3	
OG1_5_1289	3	2	2	2	2	
OG1_5_1290	5	2	1	1	2	
OG1_5_1291	2	2	2	2	3	
OG1_5_1292	2	4	2	2	1	
OG1_5_1293	3	3	2	1	2	
OG1_5_1294	3	2	2	2	2	
OG1_5_1295	4	4	1	1	1	
OG1_5_1296	4	1	0	0	6	
OG1_5_1297	2	3	1	3	2	
OG1_5_1298	3	6	0	1	1	
OG1_5_1299	5	2	1	2	1	
OG1_5_1300	5	2	0	1	3	
OG1_5_1301	4	2	3	1	1	
OG1_5_1302	3	2	3	2	1	
OG1_5_1303	2	2	2	2	3	
