OG_name	Emi219	Emi370	Emi374	Emi379	Emihu1	
OG1_5_5890	1	1	1	1	1
OG1_5_5891	1	1	1	1	1
OG1_5_5892	1	1	1	1	1
OG1_5_5893	1	1	1	1	1
OG1_5_5895	1	1	1	1	1
OG1_5_5896	1	1	1	1	1
OG1_5_5897	1	1	1	1	1
OG1_5_5898	1	1	1	1	1
OG1_5_5899	1	1	1	1	1
OG1_5_5900	1	1	1	1	1
OG1_5_5901	1	1	1	1	1
OG1_5_5902	1	1	1	1	1
OG1_5_5903	1	1	1	1	1
OG1_5_5904	1	1	1	1	1
OG1_5_5905	1	1	1	1	1
OG1_5_5906	1	1	1	1	1
OG1_5_5907	1	1	1	1	1
OG1_5_5908	1	1	1	1	1
OG1_5_5909	1	1	1	1	1
OG1_5_5910	1	1	1	1	1
OG1_5_5911	1	1	1	1	1
OG1_5_5912	1	1	1	1	1
OG1_5_5913	1	1	1	1	1
OG1_5_5915	1	1	1	1	1
OG1_5_5916	1	1	1	1	1
OG1_5_5917	1	1	1	1	1
OG1_5_5918	1	1	1	1	1
OG1_5_5919	1	1	1	1	1
OG1_5_5920	1	1	1	1	1
OG1_5_5921	1	1	1	1	1
OG1_5_5922	1	1	1	1	1
OG1_5_5923	1	1	1	1	1
OG1_5_5925	1	1	1	1	1
OG1_5_5926	1	1	1	1	1
OG1_5_5927	1	1	1	1	1
OG1_5_5928	1	1	1	1	1
OG1_5_5931	1	1	1	1	1
OG1_5_5932	1	1	1	1	1
OG1_5_5933	1	1	1	1	1
OG1_5_5934	1	1	1	1	1
OG1_5_5935	1	1	1	1	1
OG1_5_5936	1	1	1	1	1
OG1_5_5937	1	1	1	1	1
OG1_5_5938	1	1	1	1	1
OG1_5_5939	1	1	1	1	1
OG1_5_5940	1	1	1	1	1
OG1_5_5941	1	1	1	1	1
OG1_5_5942	1	1	1	1	1
OG1_5_5943	1	1	1	1	1
OG1_5_5944	1	1	1	1	1
OG1_5_5946	1	1	1	1	1
OG1_5_5947	1	1	1	1	1
OG1_5_5948	1	1	1	1	1
OG1_5_5949	1	1	1	1	1
OG1_5_5950	1	1	1	1	1
OG1_5_5951	1	1	1	1	1
OG1_5_5952	1	1	1	1	1
OG1_5_5953	1	1	1	1	1
OG1_5_5954	1	1	1	1	1
OG1_5_5955	1	1	1	1	1
OG1_5_5956	1	1	1	1	1
OG1_5_5957	1	1	1	1	1
OG1_5_5958	1	1	1	1	1
OG1_5_5959	1	1	1	1	1
OG1_5_5960	1	1	1	1	1
OG1_5_5961	1	1	1	1	1
OG1_5_5964	1	1	1	1	1
OG1_5_5966	1	1	1	1	1
OG1_5_5967	1	1	1	1	1
OG1_5_5968	1	1	1	1	1
OG1_5_5969	1	1	1	1	1
OG1_5_5970	1	1	1	1	1
OG1_5_5971	1	1	1	1	1
OG1_5_5972	1	1	1	1	1
OG1_5_5973	1	1	1	1	1
OG1_5_5975	1	1	1	1	1
OG1_5_5976	1	1	1	1	1
OG1_5_5977	1	1	1	1	1
OG1_5_5978	1	1	1	1	1
OG1_5_5979	1	1	1	1	1
OG1_5_5980	1	1	1	1	1
OG1_5_5982	1	1	1	1	1
OG1_5_5983	1	1	1	1	1
OG1_5_5984	1	1	1	1	1
OG1_5_5986	1	1	1	1	1
OG1_5_5989	1	1	1	1	1
OG1_5_5990	1	1	1	1	1
OG1_5_5991	1	1	1	1	1
OG1_5_5992	1	1	1	1	1
OG1_5_5993	1	1	1	1	1
OG1_5_5994	1	1	1	1	1
OG1_5_5996	1	1	1	1	1
OG1_5_5998	1	1	1	1	1
OG1_5_5999	1	1	1	1	1
OG1_5_6001	1	1	1	1	1
OG1_5_6002	1	1	1	1	1
OG1_5_6004	1	1	1	1	1
OG1_5_6006	1	1	1	1	1
OG1_5_6007	1	1	1	1	1
OG1_5_6008	1	1	1	1	1
OG1_5_6011	1	1	1	1	1
OG1_5_6012	1	1	1	1	1
OG1_5_6013	1	1	1	1	1
OG1_5_6014	1	1	1	1	1
OG1_5_6015	1	1	1	1	1
OG1_5_6017	1	1	1	1	1
OG1_5_6018	1	1	1	1	1
OG1_5_6019	1	1	1	1	1
OG1_5_6020	1	1	1	1	1
OG1_5_6021	1	1	1	1	1
OG1_5_6023	1	1	1	1	1
OG1_5_6024	1	1	1	1	1
OG1_5_6025	1	1	1	1	1
OG1_5_6027	1	1	1	1	1
OG1_5_6028	1	1	1	1	1
OG1_5_6030	1	1	1	1	1
OG1_5_6031	1	1	1	1	1
OG1_5_6032	1	1	1	1	1
OG1_5_6033	1	1	1	1	1
OG1_5_6034	1	1	1	1	1
OG1_5_6035	1	1	1	1	1
OG1_5_6036	1	1	1	1	1
OG1_5_6037	1	1	1	1	1
OG1_5_6038	1	1	1	1	1
OG1_5_6039	1	1	1	1	1
OG1_5_6042	1	1	1	1	1
OG1_5_6043	1	1	1	1	1
OG1_5_6044	1	1	1	1	1
OG1_5_6045	1	1	1	1	1
OG1_5_6046	1	1	1	1	1
OG1_5_6047	1	1	1	1	1
OG1_5_6048	1	1	1	1	1
OG1_5_6049	1	1	1	1	1
OG1_5_6050	1	1	1	1	1
OG1_5_6051	1	1	1	1	1
OG1_5_6052	1	1	1	1	1
OG1_5_6053	1	1	1	1	1
OG1_5_6054	1	1	1	1	1
OG1_5_6055	1	1	1	1	1
OG1_5_6056	1	1	1	1	1
OG1_5_6057	1	1	1	1	1
OG1_5_6058	1	1	1	1	1
OG1_5_6059	1	1	1	1	1
OG1_5_6060	1	1	1	1	1
OG1_5_6061	1	1	1	1	1
OG1_5_6062	1	1	1	1	1
OG1_5_6063	1	1	1	1	1
OG1_5_6064	1	1	1	1	1
OG1_5_6065	1	1	1	1	1
OG1_5_6066	1	1	1	1	1
OG1_5_6067	1	1	1	1	1
OG1_5_6068	1	1	1	1	1
OG1_5_6070	1	1	1	1	1
OG1_5_6071	1	1	1	1	1
OG1_5_6072	1	1	1	1	1
OG1_5_6073	1	1	1	1	1
OG1_5_6074	1	1	1	1	1
OG1_5_6075	1	1	1	1	1
OG1_5_6076	1	1	1	1	1
OG1_5_6077	1	1	1	1	1
OG1_5_6078	1	1	1	1	1
OG1_5_6080	1	1	1	1	1
OG1_5_6081	1	1	1	1	1
OG1_5_6083	1	1	1	1	1
OG1_5_6084	1	1	1	1	1
OG1_5_6085	1	1	1	1	1
OG1_5_6086	1	1	1	1	1
OG1_5_6088	1	1	1	1	1
OG1_5_6089	1	1	1	1	1
OG1_5_6091	1	1	1	1	1
OG1_5_6092	1	1	1	1	1
OG1_5_6093	1	1	1	1	1
OG1_5_6094	1	1	1	1	1
OG1_5_6095	1	1	1	1	1
OG1_5_6096	1	1	1	1	1
OG1_5_6097	1	1	1	1	1
OG1_5_6099	1	1	1	1	1
OG1_5_6100	1	1	1	1	1
OG1_5_6101	1	1	1	1	1
OG1_5_6102	1	1	1	1	1
OG1_5_6104	1	1	1	1	1
OG1_5_6105	1	1	1	1	1
OG1_5_6108	1	1	1	1	1
OG1_5_6109	1	1	1	1	1
OG1_5_6110	1	1	1	1	1
OG1_5_6111	1	1	1	1	1
OG1_5_6112	1	1	1	1	1
OG1_5_6113	1	1	1	1	1
OG1_5_6116	1	1	1	1	1
OG1_5_6117	1	1	1	1	1
OG1_5_6118	1	1	1	1	1
OG1_5_6119	1	1	1	1	1
OG1_5_6121	1	1	1	1	1
OG1_5_6123	1	1	1	1	1
OG1_5_6124	1	1	1	1	1
OG1_5_6125	1	1	1	1	1
OG1_5_6126	1	1	1	1	1
OG1_5_6127	1	1	1	1	1
OG1_5_6133	1	1	1	1	1
OG1_5_6134	1	1	1	1	1
OG1_5_6135	1	1	1	1	1
OG1_5_6137	1	1	1	1	1
OG1_5_6140	1	1	1	1	1
OG1_5_6141	1	1	1	1	1
OG1_5_6143	1	1	1	1	1
OG1_5_6144	1	1	1	1	1
OG1_5_6149	1	1	1	1	1
OG1_5_6151	1	1	1	1	1
OG1_5_6153	1	1	1	1	1
OG1_5_6154	1	1	1	1	1
OG1_5_6155	1	1	1	1	1
OG1_5_6156	1	1	1	1	1
OG1_5_6157	1	1	1	1	1
OG1_5_6158	1	1	1	1	1
OG1_5_6159	1	1	1	1	1
OG1_5_6161	1	1	1	1	1
OG1_5_6163	1	1	1	1	1
OG1_5_6164	1	1	1	1	1
OG1_5_6165	1	1	1	1	1
OG1_5_6167	1	1	1	1	1
OG1_5_6169	1	1	1	1	1
OG1_5_6171	1	1	1	1	1
OG1_5_6172	1	1	1	1	1
OG1_5_6173	1	1	1	1	1
OG1_5_6175	1	1	1	1	1
OG1_5_6176	1	1	1	1	1
OG1_5_6179	1	1	1	1	1
OG1_5_6181	1	1	1	1	1
OG1_5_6182	1	1	1	1	1
OG1_5_6183	1	1	1	1	1
OG1_5_6184	1	1	1	1	1
OG1_5_6186	1	1	1	1	1
OG1_5_6188	1	1	1	1	1
OG1_5_6189	1	1	1	1	1
OG1_5_6190	1	1	1	1	1
OG1_5_6193	1	1	1	1	1
OG1_5_6194	1	1	1	1	1
OG1_5_6195	1	1	1	1	1
OG1_5_6196	1	1	1	1	1
OG1_5_6198	1	1	1	1	1
OG1_5_6199	1	1	1	1	1
OG1_5_6200	1	1	1	1	1
OG1_5_6201	1	1	1	1	1
OG1_5_6202	1	1	1	1	1
OG1_5_6203	1	1	1	1	1
OG1_5_6204	1	1	1	1	1
OG1_5_6205	1	1	1	1	1
OG1_5_6206	1	1	1	1	1
OG1_5_6207	1	1	1	1	1
OG1_5_6208	1	1	1	1	1
OG1_5_6209	1	1	1	1	1
OG1_5_6211	1	1	1	1	1
OG1_5_6213	1	1	1	1	1
OG1_5_6215	1	1	1	1	1
OG1_5_6217	1	1	1	1	1
OG1_5_6219	1	1	1	1	1
OG1_5_6220	1	1	1	1	1
OG1_5_6221	1	1	1	1	1
OG1_5_6222	1	1	1	1	1
OG1_5_6223	1	1	1	1	1
OG1_5_6225	1	1	1	1	1
OG1_5_6228	1	1	1	1	1
OG1_5_6229	1	1	1	1	1
OG1_5_6230	1	1	1	1	1
OG1_5_6231	1	1	1	1	1
OG1_5_6232	1	1	1	1	1
OG1_5_6233	1	1	1	1	1
OG1_5_6234	1	1	1	1	1
OG1_5_6235	1	1	1	1	1
OG1_5_6237	1	1	1	1	1
OG1_5_6238	1	1	1	1	1
OG1_5_6239	1	1	1	1	1
OG1_5_6240	1	1	1	1	1
OG1_5_6241	1	1	1	1	1
OG1_5_6242	1	1	1	1	1
OG1_5_6243	1	1	1	1	1
OG1_5_6244	1	1	1	1	1
OG1_5_6245	1	1	1	1	1
OG1_5_6248	1	1	1	1	1
OG1_5_6249	1	1	1	1	1
OG1_5_6250	1	1	1	1	1
OG1_5_6255	1	1	1	1	1
OG1_5_6256	1	1	1	1	1
OG1_5_6257	1	1	1	1	1
OG1_5_6258	1	1	1	1	1
OG1_5_6259	1	1	1	1	1
OG1_5_6260	1	1	1	1	1
OG1_5_6261	1	1	1	1	1
OG1_5_6262	1	1	1	1	1
OG1_5_6264	1	1	1	1	1
OG1_5_6266	1	1	1	1	1
OG1_5_6267	1	1	1	1	1
OG1_5_6268	1	1	1	1	1
OG1_5_6269	1	1	1	1	1
OG1_5_6270	1	1	1	1	1
OG1_5_6271	1	1	1	1	1
OG1_5_6272	1	1	1	1	1
OG1_5_6273	1	1	1	1	1
OG1_5_6276	1	1	1	1	1
OG1_5_6277	1	1	1	1	1
OG1_5_6278	1	1	1	1	1
OG1_5_6279	1	1	1	1	1
OG1_5_6281	1	1	1	1	1
