gID	E1-Q	E1-R	E1-S	E1-T	E1-V	E1-X	E1-Z1	E1-Z4	E2-Q	E2-R	E2-S	E2-T	E2-V	E2-X	E2-Z5	E2-Z9	E3-Q	E3-R	E3-S	E3-T	E3-V	E3-X	E3-Z10	E3-Z11
CCMP2298	190102	138742	185627	187009	117003	138140	165315	156502	172915	117871	189154	220384	113099	123499	155505	136693	184329	183570	98940	176481	156894	111855	182076	166158
Hemvir	77451	62885	84150	88723	55845	59908	85240	72915	77471	51567	77320	94891	51913	55680	66681	69195	78025	74094	45027	78270	52877	41250	84351	80692
Hetarc	271042	320540	250798	258821	207843	290748	243598	253271	367922	255453	298014	294198	229976	232568	286909	213713	257059	262496	183545	279834	232302	139010	295014	273177
Dicspe	122629	99790	131846	116408	104241	98802	98274	99947	108258	75202	104599	118360	80356	86365	89055	97582	113913	110977	71017	115934	94541	72647	105756	106344
Alemin	91998	131977	91037	101726	78608	117585	94608	107162	101034	110762	107873	101320	95262	94850	121641	87026	96589	104918	84626	109165	100878	57817	124632	120837
Erymad	37148	30085	40455	35602	32848	30792	32908	33075	37133	25357	36209	40231	27781	29130	31141	33104	37827	38479	24412	37275	30159	23467	38649	37263
Crypar	104751	92476	147669	119736	85477	92934	110755	99050	111342	79668	112657	130257	78723	84334	95450	93117	113484	104383	67274	115356	79704	63296	116983	105502
Minchi	10022	34853	11788	111757	8113	6499	70943	9257	64182	4853	9745	14742	4757	7551	11780	14699	14194	68930	7974	58993	11874	46115	49282	508838
Phacor	65114	37810	64377	70561	46952	32651	63899	73287	57025	39150	74627	92085	35179	39223	81028	104975	73171	95814	40912	74211	48387	40749	63883	132983
Synrec	56288	55556	68894	65174	97120	66766	61741	57996	64995	55842	60463	67711	77401	71544	50673	57849	67740	65828	69005	66910	99382	65676	71720	59502
Pyramy	98018	95496	117342	116354	133030	74461	116810	127844	93403	94373	121835	110328	81087	101641	139942	289731	138762	232433	112776	114789	90649	95944	118900	368030
Eucant	57622	35863	74474	77842	59521	45606	54874	44509	50563	35677	51421	55097	45464	49795	37628	51530	50072	47005	41005	46802	56912	59987	57974	54660
Heltam	43523	35031	49828	46948	62515	41323	45837	41448	43518	36235	45265	49897	49472	49432	39987	53387	50194	53249	44435	45700	58597	46082	52526	65016
Nitpun	114866	108908	135516	124381	302282	153151	113799	105243	120790	134154	119640	131796	223564	185073	95760	106798	132079	124762	201432	123347	351445	230599	134055	118774
Gymcat	392925	450151	423486	389577	320971	395702	373678	435070	434271	361431	428700	439438	328386	356321	438414	362077	425108	465774	277438	447130	363453	240781	480232	444669
Madery	105619	105688	108725	109884	103415	109018	101015	107180	119649	90025	118637	139401	94973	101142	105035	93435	110492	108002	84109	120072	99829	65698	117210	110016
Sexsp	62873	71103	68563	68245	61210	72491	62418	65029	73069	57386	70637	77481	57924	61717	60976	56439	69122	64789	50060	74382	55897	42454	69649	62988
